,name,address
164,광교이마트  ,경기도 수원시 영통구 광교로 191(이의동)
165,일산백마  ,경기도 고양시 일산동구 일산로 237 (마두동)
166,동수원DT  ,경기도 수원시 팔달구 중부대로 159 (우만동) 유성주유소
167,과천  ,"경기도 과천시 중앙로 129, 고려빌딩 1층 (중앙동)"
168,정자상떼뷰  ,"경기도 성남시 분당구 정자일로213번길 18, 201동 101호(정자동, 성원상떼뷰)"
169,의정부중앙  ,경기도 의정부시 행복로 7 (의정부동)
170,수내  ,"경기도 성남시 분당구 황새울로 234, 분당트라팰리스 (수내동)"
171,여주P.아울렛  ,경기도 여주시 명품로 360 2400호 (상거동)
172,주엽사거리  ,"경기도 고양시 일산서구 중앙로 1456, 서현프라자 112호 ,113호,114호 (주엽동)"
173,부천플레이도시  ,경기도 부천시 원미구 조마루로 2 (상동)
174,여주P.아울렛입구  ,경기도 여주시 명품로 360 2004호 (상거동)
175,미금역  ,경기도 성남시 분당구 돌마로 43 (금곡동) 메디파크빌딩
176,평택험프리  ,경기도 평택시 안정순환로 미군부대내 1층 쇼핑몰
177,안양일번가  ,경기도 안양시 만안구 안양로292번길 36 (안양동)
178,신세계경기  ,"경기도 용인시 수지구 포은대로 536, (주)신세계백화점경기점 4층 (죽전동)"
179,현대중동  ,"경기도 부천시 원미구 길주로 180, 현대백화점부천중동점 중동점 지하1층 (중동)"
180,오산AB  ,경기도 평택시 신장로 55 미군기지내BX(스타벅스)(신장동)
181,뉴코아야탑  ,"경기도 성남시 분당구 야탑로81번길 11, 뉴코아 야탑점 아울렛 1층 (야탑동)"
182,화정  ,경기도 고양시 덕양구 화신로272번길 57 (화정동)
183,분당구청  ,경기도 성남시 분당구 분당로 43 (서현동)
184,죽전이마트  ,"경기도 용인시 수지구 포은대로 552, 이마트 죽전점 1층 (죽전동)"
185,수원이마트  ,경기도 수원시 권선구 경수대로 270 (권선동)
186,과천이마트  ,경기도 과천시 별양상가3로 11 이마트 1층(별양동)
187,죽전CGV  ,"경기도 용인시 수지구 포은대로 536, (주)신세계백화점경기점 8층 (죽전동)"
188,정자역  ,경기도 성남시 분당구 성남대로343번길 12-2 (정자동)
189,안산중앙역  ,경기도 안산시 단원구 중앙대로 907 (고잔동)
190,산본  ,"경기도 군포시 산본로343번길 9, 성진빌딩 1층 (산본동)"
191,수원매산  ,경기도 수원시 팔달구 매산로 11 (매산로1가)
192,평촌아크로  ,"경기도 안양시 동안구 시민대로 230, 평촌아크로타워상가동 2층 8호 (관양동)"
193,안산중앙  ,"경기도 안산시 단원구 고잔로 102, 스타타워 1층 (고잔동)"
194,일산주엽  ,"경기도 고양시 일산서구 중앙로 1420, 1층 (주엽동)"
195,안산한대앞역  ,"경기도 안산시 상록구 광덕1로 379, 한남빌딩 1~2층 (이동)"
196,마장휴게소  ,경기도 이천시 중부대로 중부고속도로 82
